,population,gdp,co2,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,gdp_per_capita
192,9700609.0,173709819904.0,58.799,-7.62,6.061,0.338,0.22,17907.10458528944
193,9708111.0,169304539136.0,58.134,-1.13,5.988,0.343,0.213,17439.493546787835
194,9707874.0,173606584320.0,59.382,2.146,6.117,0.342,0.214,17883.069384707713
195,9695573.0,179054346240.0,62.157,4.673,6.411,0.347,0.202,18467.639430903157
196,9673971.0,181643476992.0,62.096,-0.097,6.419,0.342,0.201,18776.516591997228
197,9633745.0,180421001216.0,59.056,-4.897,6.13,0.327,0.206,18728.023340455868
198,10877948.0,411261698048.0,114.604,6.346,10.535,0.279,0.15,37806.918919634474
199,10955742.0,420934221824.0,105.069,-8.32,9.59,0.25,0.147,38421.33392918526
200,11031140.0,424045838336.0,102.405,-2.536,9.283,0.241,0.15,38440.79925882547
201,11103260.0,425993273344.0,102.715,0.303,9.251,0.241,0.146,38366.50437294992
202,11176727.0,432717692928.0,97.029,-5.535,8.681,0.224,0.149,38715.95798376394
203,11248306.0,441551454208.0,101.146,4.242,8.992,0.229,0.154,39254.92907180868
204,11316837.0,447144493056.0,99.623,-1.505,8.803,0.223,0.14,39511.43707875266
205,11384491.0,454386384896.0,99.055,-0.57,8.701,0.218,0.138,39912.75366601809
206,11448598.0,462533263360.0,99.967,0.921,8.732,0.216,0.14,40400.86509806703
207,11510569.0,472898011136.0,99.47,-0.497,8.642,0.21,0.135,41083.80837958575
208,11561716.0,447544098816.0,91.101,-8.413,7.88,0.204,0.137,38709.14134337844
209,322115.0,,0.539,4.255,1.672,,0.159,
210,329546.0,,0.553,2.721,1.679,,0.188,
211,337067.0,,0.451,-18.543,1.337,,0.147,
212,344695.0,,0.44,-2.439,1.276,,0.132,
213,352343.0,,0.469,6.667,1.331,,0.141,
214,359884.0,,0.641,36.719,1.782,,0.175,
215,367327.0,,0.627,-2.286,1.706,,0.171,
216,374702.0,,0.616,-1.754,1.643,,0.151,
217,382076.0,,0.605,-1.786,1.582,,0.166,
218,389103.0,,0.707,16.97,1.817,,0.184,
219,394931.0,,0.613,-13.267,1.553,,0.215,
220,9445716.0,17023196160.0,4.679,10.767,0.495,0.275,0.217,1802.2134224658034
221,9726385.0,17416239104.0,4.48,-4.267,0.461,0.257,0.222,1790.6179021291055
222,10014087.0,18305935360.0,4.403,-1.723,0.44,0.24,0.23,1828.0184064708046
223,10308730.0,19651418112.0,4.566,3.712,0.443,0.232,0.234,1906.2889523733768
224,10614845.0,21043177472.0,4.796,5.038,0.452,0.228,0.233,1982.4290860582514
225,10932791.0,22279708672.0,5.329,11.111,0.487,0.239,0.234,2037.879318464974
226,11260091.0,23134705664.0,6.494,21.865,0.577,0.281,0.234,2054.57537279228
227,11596786.0,24568274944.0,6.804,4.776,0.587,0.277,0.231,2118.5417187141334
228,11940688.0,26346545152.0,7.434,9.264,0.623,0.282,0.227,2206.451182042442
229,12290443.0,28155410432.0,7.116,-4.282,0.579,0.253,0.24,2290.8377209836945
230,12643121.0,29239040000.0,7.745,8.832,0.613,0.265,0.243,2312.644164364163
231,63466.0,,0.608,27.692,9.583,,0.187,
232,63554.0,,0.443,-27.108,6.976,,0.211,
233,63581.0,,0.366,-17.355,5.763,,0.161,
234,63527.0,,0.535,46.0,8.421,,0.234,
235,63375.0,,0.671,25.342,10.58,,0.226,
236,63165.0,,0.539,-19.672,8.527,,0.216,
237,63090.0,,0.619,14.966,9.815,,0.195,
238,63295.0,,0.634,2.367,10.015,,0.203,
239,63591.0,,0.696,9.827,10.947,,0.215,
240,63833.0,,0.594,-14.737,9.299,,0.184,
241,64051.0,,0.458,-22.84,7.151,,0.155,
242,705523.0,,0.488,25.107,0.691,,0.028,
243,713338.0,,0.732,50.076,1.026,,0.044,
244,721154.0,,0.835,14.094,1.158,,0.052,
245,728898.0,,0.918,9.939,1.26,,0.051,
246,736362.0,,1.028,11.982,1.396,,0.06,
247,743284.0,,1.057,2.751,1.421,,0.059,
248,749764.0,,1.261,19.392,1.682,,0.068,
249,756130.0,,1.342,6.352,1.774,,0.073,
250,762104.0,,1.478,10.155,1.939,,0.084,
251,767467.0,,1.459,-1.293,1.901,,0.07,
252,772512.0,,0.92,-36.943,1.191,,0.045,
253,10223277.0,51541504000.0,14.719,8.721,1.44,0.286,0.218,5041.583437482913
254,10396249.0,54437027840.0,15.949,8.356,1.534,0.293,0.228,5236.21816291626
255,10569697.0,57225289728.0,17.535,9.949,1.659,0.306,0.212,5414.089895670614
256,10743352.0,61114322944.0,17.769,1.333,1.654,0.291,0.212,5688.571215389759
257,10916991.0,64451768320.0,19.888,11.925,1.822,0.309,0.234,5903.803375856955
258,11090090.0,67582197760.0,19.887,-0.007,1.793,0.294,0.224,6093.926898699649
259,11263016.0,70463897600.0,21.239,6.802,1.886,0.301,0.231,6256.219257790276
260,11435535.0,73419857920.0,22.171,4.388,1.939,0.302,0.244,6420.325583367984
261,11606906.0,76521119744.0,22.502,1.49,1.939,0.294,0.24,6592.723310070746
262,11777318.0,78217584640.0,22.605,0.46,1.919,0.289,0.243,6641.374941221762
263,11936169.0,71382933504.0,18.326,-18.928,1.535,0.257,0.235,5980.388976060912
264,20245.0,,0.054,-31.12,2.684,,,
265,20897.0,,0.069,27.573,3.318,,,
266,21469.0,,0.084,21.55,3.925,,,
267,22026.0,,0.084,0.0,3.826,,,
268,22599.0,,0.084,0.0,3.729,,,
269,23193.0,,0.095,13.043,4.107,,,
270,23793.0,,0.103,7.692,4.312,,,
271,24392.0,,0.103,0.0,4.206,,,
272,24995.0,,0.099,-3.571,3.958,,,
273,25597.0,,0.11,11.111,4.294,,,
274,26178.0,,0.114,3.333,4.339,,,
275,3811093.0,35774435328.0,21.146,2.963,5.548,0.591,0.276,9386.922682810417
276,3743143.0,35664064512.0,23.761,12.369,6.348,0.666,0.321,9527.839174725625
277,3674376.0,35371053056.0,22.134,-6.848,6.024,0.626,0.307,9626.410867042458
278,3617564.0,36202156032.0,21.801,-1.505,6.026,0.602,0.298,10007.329803149301
279,3571070.0,36619952128.0,19.312,-11.418,5.408,0.527,0.272,10254.616159302393
280,3524328.0,38199898112.0,18.46,-4.408,5.238,0.483,0.26,10838.916840884276
281,3480985.0,39438503936.0,21.73,17.713,6.243,0.551,0.299,11329.696604840297
282,3440025.0,40717914112.0,22.156,1.959,6.441,0.544,0.308,11836.516918336349
283,3400132.0,42277007360.0,22.075,-0.366,6.492,0.522,0.301,12433.931200318106
284,3360718.0,43497123840.0,20.81,-5.729,6.192,0.478,0.299,12942.806816876631
285,3318410.0,42185625600.0,20.832,0.103,6.278,0.494,0.323,12712.601999150196
286,2091666.0,24958865408.0,4.537,17.685,2.169,0.182,0.244,11932.52909785788
287,2134043.0,27061118976.0,4.029,-11.207,1.888,0.149,0.206,12680.681212140524
288,2175429.0,27014846464.0,5.077,26.01,2.334,0.188,0.263,12418.169686990474
289,2217285.0,30014304256.0,5.663,11.55,2.554,0.189,0.296,13536.511659980562
290,2260383.0,31724222464.0,6.85,20.962,3.031,0.216,0.356,14034.888098167434
291,2305177.0,30185275392.0,5.421,-20.86,2.352,0.18,0.231,13094.558635627545
292,2352419.0,32359221248.0,6.348,17.099,2.699,0.196,0.246,13755.721768953576
293,2401848.0,33690155008.0,7.077,11.486,2.947,0.21,0.298,14026.763978403296
294,2451411.0,35101765632.0,7.504,6.032,3.061,0.214,0.319,14319.00470055817
295,2499705.0,36166406144.0,6.782,-9.624,2.713,0.188,0.287,14468.269713426183
296,2546404.0,33010528256.0,5.551,-18.152,2.18,0.168,0.247,12963.586397131014
297,196353504.0,2820492492800.0,440.269,12.955,2.242,0.156,0.138,14364.360377291765
298,198185296.0,2968454955008.0,462.58,5.068,2.334,0.156,0.14,14978.179587087026
299,199977712.0,3025484382208.0,498.309,7.724,2.492,0.165,0.147,15129.107898824244
300,201721776.0,3116394610688.0,532.418,6.845,2.639,0.171,0.153,15448.974684260167
301,203459648.0,3132099919872.0,557.901,4.786,2.742,0.178,0.157,15394.206913559587
302,205188208.0,3021043138560.0,529.353,-5.117,2.58,0.175,0.151,14723.278535382502
303,206859584.0,2922076176384.0,492.748,-6.915,2.382,0.169,0.144,14125.892162598568
304,208504960.0,2960731668480.0,497.121,0.888,2.384,0.168,0.144,14199.81408825958
305,210166592.0,3013541101568.0,477.999,-3.847,2.274,0.159,0.138,14338.820803489072
306,211782880.0,3050327244800.0,473.464,-0.949,2.236,0.155,0.134,14403.08699551163
307,213196304.0,2950377504768.0,444.504,-6.117,2.085,0.151,0.131,13838.78355024391
308,27578.0,,0.213,9.434,7.706,,0.296,
309,27984.0,,0.213,0.0,7.594,,0.289,
310,28440.0,,0.213,0.0,7.472,,0.29,
